Fecha,Proveedor,Marca,Nombre de la Empresa,Direccion,Cif,Telefono,Fax,Contacto Comercial,Email Comercial,Telefono Comercial
1/12/1991,Arévalo-Pareja,Ltd,Pascual-Barrena,"Rambla de Eliana Marin 70 Apt. 38 
Cádiz, 95652",EW724827J,+34 723 299 190,+34738 126 639,Amado Martín Cal,vsaavedra@franch.es,+34 713 47 09 63
1/1/1990,Arellano-Ordóñez,and Sons,Quiroga Group,"C. Feliciana Arnal 65 Piso 7 
La Coruña, 72200",Af172133F,+34713 73 04 44,+34996 281 154,Perlita Asensio Gutierrez,rosalia17@lopez.es,+34 955 072 645
10/4/1989,Tormo and Sons,Group,"Español, Gargallo and Moles","C. Emperatriz Salgado 1
Navarra, 54697",eO281004g,+34 729 397 591,+34 648006313,Rebeca Donaire Páez,hernandezpio@gmail.com,+34 704 10 80 86
7/19/1996,Artigas and Sons,Ltd,"Alemany, Flores and Rodrigo","C. Jonatan Pozo 883
Navarra, 66178",mb515833X,34702898710,+34 741 692 335,Noa Granados Acosta,morena98@gmail.com,+34704 305 791
2/17/2016,"Tovar, Ribas and Exposito",Group,"Ibáñez, Segura and Álvarez","Alameda de Casandra Raya 246 Piso 3 
Valladolid, 26348",TV389241h,+34997 06 42 20,+34 739 34 82 14,María Belén Manjón Cornejo,benito78@yahoo.com,+34723 301 744
8/11/1974,"Gómez, Casares and Agudo",LLC,Girón Inc,"Ronda de Josué Landa 807
Sevilla, 62385",ht890796z,+34708 09 62 88,+34947 30 70 62,Candela Poza Burgos,vgoni@casado.es,+34 734 202 618
9/26/2001,Feijoo and Sons,Group,Sacristán-Cobo,"Pasaje de Sosimo Prieto 21
Almería, 12378",pa533488h,+34649 807 991,+34882 484 748,María Dolores Morata Carranza,eduardovicente@gmail.com,+34 732 483 313
4/4/2016,"Hernandez, Fábregas and Cabrero",and Sons,Alvarado-Sáenz,"Pasadizo de Matías Olivé 2
Ceuta, 97373",oN604642S,+34738 232 809,+34747 33 09 67,Basilio Guillen Tenorio,juliacarbonell@aguado.org,34970666059
5/20/2012,Bastida Inc,and Sons,Carreño PLC,"Paseo Benita Saldaña 88 Piso 2 
Valencia, 88706",gR282885o,+34 733 06 28 74,+34707 92 15 39,Diana Cuenca Castelló,mirallesjeronimo@casado.org,34731948419
4/12/1998,Cañellas Group,and Sons,Bonet Inc,"C. de Guadalupe Milla 9 Piso 1 
Ciudad, 14734",Is933024Y,+34 732224350,+34731 15 19 32,Chema Español Ocaña,onogueira@baron.com,+34 737 67 81 17
